연도,위치,방문자수,longitude,latitude
2023,경기광명시,1008940659.0,126.866708333333,37.47575
2021,경기광주시,878352365.0,127.257786111111,37.4145055555555
2022,경기광주시,969171621.0,127.257786111111,37.4145055555555
2023,경기광주시,1017589960.0,127.257786111111,37.4145055555555
2021,경기구리시,866830890.0,127.131863888888,37.591625
2022,경기구리시,957025461.0,127.131863888888,37.591625
2023,경기구리시,1005225319.0,127.131863888888,37.591625
2021,경기군포시,844567099.0,126.9375,37.3586583333333
2022,경기군포시,936123317.0,126.9375,37.3586583333333
2023,경기군포시,986439428.0,126.9375,37.3586583333333
2021,경기김포시,884023956.0,126.717777777777,37.6124583333333
2022,경기김포시,975796766.0,126.717777777777,37.6124583333333
2023,경기김포시,1026684380.0,126.717777777777,37.6124583333333
2021,경기남양주시,909016841.0,127.218633333333,37.6331777777777
2022,경기남양주시,1002604153.0,127.218633333333,37.6331777777777
2023,경기남양주시,1055414907.0,127.218633333333,37.6331777777777
2021,경기동두천시,822509514.0,127.062652777777,37.9009166666666
2022,경기동두천시,912231006.0,127.062652777777,37.9009166666666
2023,경기동두천시,962028962.0,127.062652777777,37.9009166666666
2021,경기부천시,904741529.0,126.766,37.5035917
2022,경기부천시,1003425215.0,126.766,37.5035917
2023,경기부천시,1056967383.0,126.766,37.5035917
2021,경기성남시,2628694528.0,127.147719444444,37.4474916666666
2022,경기성남시,2917317177.0,127.147719444444,37.4474916666666
2023,경기성남시,3071332893.0,127.147719444444,37.4474916666666
2021,경기수원시,3484703338.0,127.012222222222,37.3010111111111
2022,경기수원시,3874172272.0,127.012222222222,37.3010111111111
2023,경기수원시,4089159392.0,127.012222222222,37.3010111111111
2021,경기시흥시,888664920.0,126.805077777777,37.3773194444444
2022,경기시흥시,979979973.0,126.805077777777,37.3773194444444
2023,경기시흥시,1031069870.0,126.805077777777,37.3773194444444
2021,경기안산시,1728512479.0,126.846819444444,37.2985194444444
2022,경기안산시,1913837485.0,126.846819444444,37.2985194444444
2023,경기안산시,2016727899.0,126.846819444444,37.2985194444444
2021,경기안성시,859436450.0,127.281844444444,37.005175
2022,경기안성시,951440106.0,127.281844444444,37.005175
2023,경기안성시,1001755010.0,127.281844444444,37.005175
2021,경기안양시,1714694916.0,126.953355555555,37.3897
2022,경기안양시,1902347169.0,126.953355555555,37.3897
2023,경기안양시,2003830210.0,126.953355555555,37.3897
2021,경기양주시,855769933.0,127.047819444444,37.78245
2022,경기양주시,948980557.0,127.047819444444,37.78245
2023,경기양주시,1001666684.0,127.047819444444,37.78245
2021,경기양평군,857675016.0,127.489886111111,37.4889361111111
2022,경기양평군,948367597.0,127.489886111111,37.4889361111111
2023,경기양평군,995720184.0,127.489886111111,37.4889361111111
2021,경기여주시,848698464.0,127.639622222222,37.2953583333333
2022,경기여주시,939679487.0,127.639622222222,37.2953583333333
2023,경기여주시,988158590.0,127.639622222222,37.2953583333333
2021,경기연천군,823491738.0,127.077066666666,38.0933638888888
2022,경기연천군,912348334.0,127.077066666666,38.0933638888888
2023,경기연천군,962063773.0,127.077066666666,38.0933638888888
2021,경기오산시,843853034.0,127.079641666666,37.1469138888888
2022,경기오산시,938600466.0,127.079641666666,37.1469138888888
2023,경기오산시,987525676.0,127.079641666666,37.1469138888888
2021,경기용인시,2626207285.0,127.203844444444,37.2314777777777
2022,경기용인시,2910843793.0,127.203844444444,37.2314777777777
2023,경기용인시,3064130196.0,127.203844444444,37.2314777777777
2021,경기의왕시,847206160.0,126.970388888888,37.34195
2022,경기의왕시,939971181.0,126.970388888888,37.34195
2023,경기의왕시,989837942.0,126.970388888888,37.34195
2021,경기의정부시,867093012.0,127.035841666666,37.7352888888888
2022,경기의정부시,960632362.0,127.035841666666,37.7352888888888
2023,경기의정부시,1013053474.0,127.035841666666,37.7352888888888
2021,경기이천시,863031753.0,127.443219444444,37.2754361111111
2022,경기이천시,956218943.0,127.443219444444,37.2754361111111
2023,경기이천시,1003542944.0,127.443219444444,37.2754361111111
2021,경기파주시,890379526.0,126.781952777777,37.7570833333333
2022,경기파주시,985212418.0,126.781952777777,37.7570833333333
2023,경기파주시,1033718171.0,126.781952777777,37.7570833333333
2021,경기평택시,873322544.0,127.114655555555,36.9894388888888
2022,경기평택시,969673738.0,127.114655555555,36.9894388888888
2023,경기평택시,1022544764.0,127.114655555555,36.9894388888888
2021,경기포천시,857321568.0,127.202419444444,37.8921555555555
2022,경기포천시,949278809.0,127.202419444444,37.8921555555555
2023,경기포천시,997323396.0,127.202419444444,37.8921555555555
2021,경기하남시,886060973.0,127.217,37.5364972222222
2022,경기하남시,980623481.0,127.217,37.5364972222222
2023,경기하남시,1031172674.0,127.217,37.5364972222222
2021,경기화성시,946599797.0,126.833530555555,37.1968166666666
2022,경기화성시,1047460480.0,126.833530555555,37.1968166666666
2023,경기화성시,1101827888.0,126.833530555555,37.1968166666666
2021,경상거제시,269765210.0,128.623355555555,34.8773583333333
2022,경상거제시,296110468.0,128.623355555555,34.8773583333333
2023,경상거제시,305627558.0,128.623355555555,34.8773583333333
2021,경상거창군,244388366.0,127.911655555555,35.683625
2022,경상거창군,268022529.0,127.911655555555,35.683625
2023,경상거창군,276836624.0,127.911655555555,35.683625
2021,경상경산시,320768836.0,128.743463888888,35.8220888888888
2022,경상경산시,353590900.0,128.743463888888,35.8220888888888
2023,경상경산시,362320945.0,128.743463888888,35.8220888888888
2021,경상경주시,348279607.0,129.227022222222,35.8531694444444
2022,경상경주시,389821891.0,129.227022222222,35.8531694444444
2023,경상경주시,401055505.0,129.227022222222,35.8531694444444
